MB,Read Time (ns),Read Time / Number (ns)
1723,2359351,1369
1724,2522979,1463
1725,2401069,1391
1726,2392726,1386
1727,2369014,1371
1728,2416615,1398
1729,2481021,1434
1730,2373146,1371
1731,2377567,1373
1732,2416697,1395
1733,2366365,1365
1734,2571677,1483
1735,2338324,1347
1736,2393120,1378
1737,2395094,1378
1738,2383491,1371
1739,2387256,1372
1740,2411482,1385
1741,2407554,1382
1742,2477442,1422
1743,2373864,1361
1744,2402047,1377
1745,2413429,1383
1746,2355294,1348
1747,2797404,1601
1748,2398875,1372
1749,2399030,1371
1750,2386753,1363
1751,2362360,1349
1752,2523251,1440
1753,2394567,1365
1754,2488224,1418
1755,2367282,1348
1756,3403461,1938
1757,2784767,1584
1758,2865181,1629
1759,3250023,1847
1760,2467592,1402
1761,2880363,1635
1762,2686141,1524
1763,2347156,1331
1764,2388846,1354
1765,2358027,1335
1766,2358948,1335
1767,2523718,1428
1768,2452328,1387
1769,2595241,1467
1770,2374230,1341
1771,2410776,1361
1772,2367291,1335
1773,2454700,1384
1774,2396894,1351
1775,2398934,1351
1776,2408341,1356
1777,2437117,1371
1778,2366342,1330
1779,2402540,1350
1780,2359669,1325
1781,2387393,1340
1782,2502987,1404
1783,2389352,1340
1784,2343423,1313
1785,2431165,1361
1786,2384372,1335
1787,2384312,1334
1788,2679924,1498
1789,2581031,1442
1790,2373563,1326
1791,2485405,1387
1792,2398866,1338
1793,2453455,1368
1794,2410837,1343
1795,2351309,1309
1796,2369240,1319
1797,2431715,1353
1798,2376875,1321
1799,2393223,1330
1800,2428564,1349
1801,2426211,1347
1802,2401174,1332
1803,2420353,1342
1804,2340366,1297
1805,2426403,1344
1806,2362011,1307
1807,2408769,1333
1808,2361373,1306
1809,2446332,1352
1810,2365011,1306
1811,2391282,1320
1812,2365583,1305
1813,2382162,1313
1814,2377172,1310
1815,2419520,1333
1816,2352137,1295
1817,2456332,1351
1818,2396037,1317
1819,2388441,1313
1820,2409055,1323
1821,2381175,1307
1822,2374967,1303
1823,2425860,1330
1824,2373736,1301
1825,2333327,1278
1826,2394352,1311
1827,2402250,1314
1828,2339925,1280
1829,2438959,1333
1830,2416837,1320
1831,2426135,1325
1832,2447065,1335
1833,2510649,1369
1834,2402391,1309
1835,2419981,1318
1836,2385451,1299
1837,2397175,1304
1838,2363549,1285
1839,2464681,1340
1840,2383598,1295
1841,2438589,1324
1842,2388057,1296
1843,2417389,1311
1844,2385370,1293
1845,2428133,1316
1846,2467348,1336
1847,2505412,1356
1848,2392474,1294
1849,2456391,1328
1850,2406940,1301
1851,2494904,1347
1852,2356664,1272
1853,2453242,1323
1854,2427509,1309
1855,2441008,1315
1856,2386051,1285
1857,2443570,1315
1858,2375813,1278
1859,2582769,1389
1860,2378158,1278
1861,2420640,1300
1862,2375619,1275
1863,2468825,1325
1864,2376456,1274
1865,2430903,1303
1866,2373848,1272
1867,2436684,1305
1868,2401238,1285
1869,2513023,1344
1870,2461867,1316
1871,2382322,1273
1872,2379609,1271
1873,2438973,1302
1874,3372287,1799
1875,2383628,1271
1876,2444395,1302
1877,2415308,1286
1878,2534115,1349
1879,2445760,1301
1880,2342952,1246
1881,2430697,1292
1882,2390464,1270
1883,2455636,1304
1884,2439015,1294
1885,2558609,1357
1886,2401311,1273
1887,2444715,1295
1888,2539183,1344
1889,2420396,1281
1890,2404246,1272
1891,2409004,1273
1892,2380958,1258
1893,2512442,1327
1894,2372502,1252
1895,2466624,1301
1896,2410543,1271
1897,2409334,1270
1898,2576733,1357
1899,2450004,1290
1900,2435836,1282
1901,2443822,1285
1902,2483459,1305
1903,2437606,1280
1904,2388626,1254
1905,2448011,1285
1906,2391435,1254
1907,2486764,1304
1908,2434410,1275
1909,2650047,1388
1910,2384507,1248
1911,2460827,1287
1912,2495063,1304
1913,2431814,1271
1914,2391161,1249
1915,2450547,1279
1916,2377151,1240
1917,2474383,1290
1918,2375586,1238
1919,2380856,1240
1920,2422513,1261
1921,2377552,1237
1922,2372893,1234
1923,2451656,1274
1924,2495913,1297
1925,2562371,1331
1926,2473154,1284
1927,2408250,1249
1928,2397631,1243
1929,2448802,1269
1930,2415513,1251
1931,2448681,1268
1932,2437934,1261
1933,2437124,1260
1934,2431096,1257
1935,2594332,1340
1936,2438820,1259
1937,2503031,1292
1938,2405463,1241
1939,2383333,1229
1940,2422604,1248
1941,2608305,1343
1942,2354782,1212
1943,2462332,1267
1944,2487486,1279
1945,2416391,1242
1946,2420340,1243
1947,2477527,1272
1948,2422691,1243
1949,2574344,1320
1950,2450457,1256
1951,2426426,1243
1952,2402818,1230
1953,2454653,1256
1954,2422031,1239
1955,2429354,1242
1956,2448438,1251
1957,2478802,1266
1958,2514421,1284
1959,2454459,1252
1960,2429277,1239
1961,2437459,1242
1962,2385808,1216
1963,2661936,1356
1964,2416000,1230
1965,2446889,1245
1966,2364849,1202
1967,2468631,1255
1968,2468370,1254
1969,2496212,1267
1970,2408564,1222
1971,2520449,1278
1972,2397024,1215
1973,2612851,1324
1974,2411428,1221
1975,2445667,1238
1976,2376680,1202
1977,2505891,1267
1978,2447329,1237
1979,2416036,1220
1980,2425885,1225
1981,2406682,1214
1982,2409224,1215
1983,2441704,1231
1984,2430839,1225
1985,2521114,1270
1986,2518397,1268
1987,2426373,1221
1988,2467145,1241
1989,2452778,1233
1990,2566346,1289
1991,2470534,1240
1992,2388857,1199
1993,2381052,1194
1994,2397210,1202
1995,2566751,1286
1996,2418499,1211
1997,2589689,1296
1998,2423161,1212
1999,2449318,1225
2000,2400501,1200
2001,2439909,1219
2002,2412886,1205
2003,2429121,1212
2004,2418259,1206
2005,2471673,1232
2006,2397986,1195
2007,2524697,1257
2008,2433788,1212
2009,2476246,1232
2010,2411695,1199
2011,2446879,1216
2012,2432002,1208
2013,2420831,1202
2014,2457222,1220
2015,2454236,1217
2016,2410292,1195
2017,2445894,1212
2018,2427562,1202
2019,2496867,1236
2020,2406541,1191
2021,2555617,1264
2022,2507043,1239
2023,2412042,1192
2024,2466191,1218
2025,2508825,1238
2026,2421030,1194
2027,2636083,1300
2028,2435610,1200
2029,2462149,1213
2030,2409973,1187
2031,2513790,1237
2032,2406148,1184
2033,2472181,1216
2034,2411872,1185
2035,2461214,1209
2036,2411867,1184
2037,2461538,1208
2038,2493070,1223
2039,2437237,1195
2040,2439763,1195
2041,2503005,1226
2042,2410825,1180
2043,2589346,1267
2044,2412683,1180
2045,2415502,1181
2046,2471854,1208
2047,2441940,1192
