KB,Read Time (ns),Read Time / Number (ns)
836,365049,436
837,371858,444
838,368034,439
839,398462,474
840,380031,452
841,366255,435
842,381554,453
843,389074,461
844,358251,424
845,397861,470
846,382402,452
847,400242,472
848,374264,441
849,361555,425
850,400197,470
851,367813,432
852,390274,458
853,366328,429
854,409324,479
855,383875,448
856,398289,465
857,392385,457
858,377216,439
859,404688,471
860,364012,423
861,378667,439
862,362066,420
863,382757,443
864,360559,417
865,437792,506
866,374126,432
867,394974,455
868,379544,437
869,364860,419
870,382294,439
871,360943,414
872,393397,451
873,373745,428
874,388884,444
875,439584,502
876,395973,452
877,414935,473
878,409152,466
879,420498,478
880,431256,490
881,370056,420
882,379526,430
883,402246,455
884,365546,413
885,398395,450
886,463443,523
887,389327,438
888,389968,439
889,417118,469
890,434317,487
891,463224,519
892,434775,487
893,443662,496
894,387549,433
895,382387,427
896,384579,429
897,413647,461
898,378708,421
899,385677,429
900,368282,409
901,389975,432
902,382920,424
903,419930,465
904,397057,439
905,387798,428
906,406171,448
907,552259,608
908,386829,426
909,387586,426
910,399434,438
911,384425,421
912,398709,437
913,414209,453
914,382202,418
915,404088,441
916,405825,443
917,391897,427
918,402680,438
919,380422,413
920,397376,431
921,411809,447
922,393629,426
923,427050,462
924,408427,442
925,399460,431
926,399148,431
927,398295,429
928,431711,465
929,398658,429
930,451092,485
931,417932,448
932,396263,425
933,402363,431
934,438342,469
935,436204,466
936,416036,444
937,417126,445
938,400928,427
939,399065,424
940,423975,451
941,408366,433
942,423467,449
943,406772,431
944,430977,456
945,424125,448
946,408850,432
947,412205,435
948,389609,410
949,400494,422
950,401509,422
951,420889,442
952,422013,443
953,423080,443
954,418023,438
955,405914,425
956,431688,451
957,433766,453
958,431885,450
959,415894,433
960,461779,481
961,429565,446
962,412729,429
963,415960,431
964,423287,439
965,434655,450
966,445198,460
967,411321,425
968,431021,445
969,420232,433
970,427744,440
971,437776,450
972,412891,424
973,415042,426
974,424112,435
975,410620,421
976,492604,504
977,427728,437
978,421534,431
979,427794,436
980,439755,448
981,476020,485
982,430218,438
983,471938,480
984,417614,424
985,443008,449
986,457531,464
987,423543,429
988,454525,460
989,440529,445
990,434454,438
991,415279,419
992,441841,445
993,421224,424
994,431424,434
995,425004,427
996,437904,439
997,452801,454
998,461162,462
999,428423,428
1000,426513,426
1001,467626,467
1002,434718,433
1003,470606,469
1004,472133,470
1005,455853,453
1006,491759,488
1007,440143,437
1008,430513,427
1009,417599,413
1010,445430,441
1011,418228,413
1012,448927,443
1013,427958,422
1014,458073,451
1015,486461,479
1016,434045,427
1017,446709,439
1018,429095,421
1019,460639,452
1020,423579,415
1021,512126,501
1022,422345,413
1023,447372,437
1024,430424,420
1025,453903,442
1026,486133,473
1027,463510,451
1028,449622,437
1029,498520,484
1030,450119,437
1031,447109,433
1032,428540,415
1033,472032,456
1034,461213,446
1035,436817,422
1036,428820,413
1037,428633,413
1038,462256,445
1039,436321,419
1040,462702,444
1041,446324,428
1042,478257,458
1043,456546,437
1044,439014,420
1045,454035,434
1046,436327,417
1047,456593,436
1048,466445,445
1049,448932,427
1050,450086,428
1051,455083,433
1052,464813,441
1053,441422,419
1054,463713,439
1055,450408,426
1056,462752,438
1057,435396,411
1058,480781,454
1059,472877,446
1060,464742,438
1061,478005,450
1062,446591,420
1063,468238,440
1064,452926,425
1065,434181,407
1066,488518,458
1067,447133,419
1068,479786,449
1069,503182,470
1070,453496,423
1071,451931,421
1072,471225,439
1073,449861,419
1074,468933,436
1075,464657,432
1076,479240,445
1077,490716,455
1078,469117,435
1079,470839,436
1080,484067,448
1081,443064,409
1082,453956,419
1083,473092,436
1084,465026,428
1085,481757,444
1086,487970,449
1087,464382,427
1088,501533,460
1089,471100,432
1090,463611,425
1091,458844,420
1092,459227,420
1093,475611,435
1094,457558,418
1095,484435,442
1096,465212,424
1097,456160,415
1098,497109,452
1099,487065,443
1100,472782,429
1101,502248,456
1102,490911,445
1103,488266,442
1104,500139,453
1105,467793,423
1106,515596,466
1107,463533,418
1108,496767,448
1109,477974,430
1110,470350,423
1111,457710,411
1112,475078,427
1113,482677,433
1114,474595,426
1115,519407,465
1116,486390,435
1117,610304,546
1118,513236,459
1119,500925,447
1120,495287,442
1121,491632,438
1122,468790,417
1123,505973,450
1124,479133,426
1125,550259,489
1126,485281,430
1127,480337,426
1128,524484,464
1129,495508,438
1130,466086,412
1131,478445,423
1132,512592,452
1133,520173,459
1134,493136,434
1135,487805,429
1136,478630,421
1137,491687,432
1138,471826,414
1139,500661,439
1140,489938,429
1141,505085,442
1142,496820,435
1143,537335,470
1144,487270,425
1145,482352,421
1146,497838,434
1147,508915,443
1148,525331,457
1149,531928,462
1150,501581,436
1151,524199,455
1152,484314,420
1153,519227,450
1154,538902,466
1155,520095,450
1156,501540,433
1157,491963,425
1158,484568,418
1159,482868,416
1160,496244,427
1161,521777,449
1162,513360,441
1163,502669,432
1164,524425,450
1165,487479,418
1166,544188,466
1167,520545,446
1168,531187,454
1169,514422,440
1170,520384,444
1171,495892,423
1172,588576,502
1173,516715,440
1174,555829,473
1175,497659,423
1176,510079,433
1177,482893,410
1178,507612,430
1179,533765,452
1180,498007,422
1181,487140,412
1182,574499,486
1183,507202,428
1184,490027,413
1185,506102,427
1186,510442,430
