KB,Read Time (ns),Read Time / Number (ns)
737,319233,433
738,307381,416
739,313014,423
740,623550,842
741,332991,449
742,312185,420
743,323752,435
744,326217,438
745,325572,437
746,337058,451
747,349888,468
748,331144,442
749,354753,473
750,335648,447
751,308997,411
752,301544,400
753,333499,442
754,314154,416
755,353218,467
756,322796,426
757,330133,436
758,337635,445
759,330716,435
760,346120,455
761,341171,448
762,338432,444
763,314868,412
764,332968,435
765,339805,444
766,320009,417
767,400950,522
768,366528,477
769,339765,441
770,379266,492
771,335151,434
772,339249,439
773,338789,438
774,349807,451
775,352103,454
776,354127,456
777,342520,440
778,320267,411
779,343059,440
780,391354,501
781,338411,433
782,336176,429
783,340899,435
784,350818,447
785,326433,415
786,385083,489
787,322869,410
788,339293,430
789,351060,444
790,337383,427
791,353877,447
792,364131,459
793,333235,420
794,357737,450
795,341393,429
796,341361,428
797,337638,423
798,374701,469
799,329876,412
800,351407,439
801,339903,424
802,357353,445
803,355194,442
804,359664,447
805,341095,423
806,332787,412
807,349415,432
808,355816,440
809,364319,450
810,337062,416
811,364791,449
812,345572,425
813,355056,436
814,369096,453
815,355690,436
816,383316,469
817,345841,423
818,342303,418
819,358879,438
820,371133,452
821,372490,453
822,351429,427
823,356241,432
824,379695,460
825,366242,443
826,350970,424
827,349970,423
828,347812,420
829,378110,456
830,363354,437
831,349752,420
832,384571,462
833,405080,486
834,365186,437
835,418676,501
836,355550,425
837,352189,420
838,353104,421
839,358298,427
840,374928,446
841,356506,423
842,402213,477
843,361556,428
844,343663,407
845,371283,439
846,351645,415
847,396933,468
848,364730,430
849,365942,431
850,354858,417
851,362132,425
852,352279,413
853,377669,442
854,349087,408
855,354093,414
856,417532,487
857,397622,463
858,359579,419
859,370109,430
860,367049,426
861,401672,466
862,380822,441
863,364715,422
864,436823,505
865,368393,425
866,393996,454
867,369898,426
868,398586,459
869,419276,482
870,411063,472
871,382512,439
872,422589,484
873,376358,431
874,422421,483
875,401706,459
876,384156,438
877,383832,437
878,399972,455
879,394099,448
880,407732,463
881,405288,460
882,377394,427
883,406015,459
884,414454,468
885,405618,458
886,388687,438
887,385240,434
888,389002,438
889,385101,433
890,389578,437
891,375322,421
892,384074,430
893,367927,412
894,463664,518
895,375308,419
896,398252,444
897,380076,423
898,397711,442
899,421341,468
900,401464,446
901,376770,418
902,388663,430
903,384138,425
904,416847,461
905,397880,439
906,387750,427
907,409264,451
908,375687,413
909,397328,437
910,414609,455
911,443206,486
912,440726,483
913,386725,423
914,386521,422
915,429531,469
916,381013,415
917,400049,436
918,392979,428
919,387080,421
920,419891,456
921,412831,448
922,394838,428
923,396534,429
924,417210,451
925,417065,450
926,407140,439
927,403746,435
928,406669,438
929,401681,432
930,386655,415
931,381260,409
932,465091,499
933,414001,443
934,401025,429
935,417738,446
936,399579,426
937,395389,421
938,426105,454
939,403389,429
940,400126,425
941,413181,439
942,404516,429
943,409249,433
944,461299,488
945,405314,428
946,407352,430
947,408370,431
948,433720,457
949,420444,443
950,416026,437
951,464819,488
952,401070,421
953,401256,421
954,422336,442
955,443390,464
956,423413,442
957,443975,463
958,393656,410
959,414145,431
960,416517,433
961,436923,454
962,404964,420
963,420288,436
964,417996,433
965,414643,429
966,423802,438
967,409059,423
968,408505,422
969,403532,416
970,438159,451
971,425644,438
972,426059,438
973,459431,472
974,424973,436
975,410668,421
976,434158,444
977,450346,460
978,438825,448
979,456836,466
980,436297,445
981,455918,464
982,429199,437
983,430605,438
984,503200,511
985,418884,425
986,446546,452
987,455259,461
988,474781,480
989,466798,471
990,428355,432
991,411795,415
992,455690,459
993,426379,429
994,428695,431
995,429769,431
996,420937,422
997,451097,452
998,424827,425
999,418159,418
1000,457488,457
1001,441081,440
1002,444169,443
1003,429004,427
1004,450519,448
1005,440230,438
1006,424831,422
1007,444281,441
1008,435264,431
1009,426434,422
1010,478146,473
1011,463769,458
1012,440538,435
1013,456841,450
1014,460812,454
1015,441176,434
1016,424475,417
1017,441338,433
1018,473603,465
1019,439666,431
1020,449243,440
1021,439841,430
1022,439188,429
1023,464535,454
1024,466367,455
1025,458979,447
1026,460233,448
1027,427842,416
1028,418605,407
1029,455409,442
1030,473254,459
1031,441898,428
1032,455337,441
1033,467722,452
1034,462624,447
1035,475742,459
1036,465649,449
1037,443770,427
1038,446727,430
1039,438691,422
1040,451288,433
1041,472555,453
1042,496513,476
1043,446954,428
1044,482075,461
1045,723420,692
1046,493476,471
1047,459545,438
1048,454777,433
1049,463099,441
1050,481599,458
1051,464475,441
1052,458568,435
1053,486050,461
1054,456361,432
1055,437940,415
1056,442050,418
1057,428598,405
1058,493495,466
1059,452904,427
1060,457903,431
1061,493737,465
1062,490026,461
1063,450197,423
1064,445311,418
1065,479285,450
1066,467315,438
1067,472374,442
1068,455472,426
1069,453308,424
1070,466838,436
1071,464447,433
1072,455425,424
1073,457152,426
1074,484793,451
1075,456600,424
1076,484716,450
1077,477060,442
1078,473051,438
1079,466118,431
1080,489726,453
1081,480888,444
1082,532876,492
1083,473929,437
1084,465268,429
1085,476538,439
1086,471932,434
1087,458059,421
1088,482764,443
1089,490903,450
1090,524812,481
1091,489350,448
1092,496680,454
1093,470570,430
1094,489236,447
1095,490687,448
1096,455371,415
1097,471663,429
1098,461267,420
1099,494861,450
1100,515800,468
1101,470915,427
1102,503879,457
1103,500936,454
1104,456897,413
1105,517848,468
1106,482996,436
1107,477619,431
1108,486814,439
1109,494746,446
1110,493916,444
1111,473739,426
1112,478603,430
1113,510317,458
1114,476990,428
1115,496505,445
1116,518123,464
1117,530514,474
1118,468057,418
1119,477195,426
1120,498353,444
1121,489316,436
1122,488800,435
1123,479742,427
1124,485239,431
1125,475311,422
1126,507274,450
1127,495740,439
1128,490035,434
1129,478837,424
1130,465421,411
1131,494964,437
1132,488903,431
1133,496145,437
1134,540787,476
1135,545218,480
1136,506684,446
1137,513695,451
1138,479354,421
1139,510185,447
1140,479512,420
1141,493546,432
1142,491549,430
1143,489402,428
1144,527597,461
1145,500828,437
1146,502702,438
1147,492470,429
1148,497275,433
1149,494794,430
1150,518911,451
1151,485898,422
1152,526450,456
1153,509141,441
1154,498417,431
1155,495988,429
1156,515067,445
1157,508802,439
1158,493054,425
1159,511254,441
1160,500584,431
1161,537315,462
1162,498471,428
1163,509557,438
1164,492620,423
1165,544083,467
1166,500498,429
1167,516087,442
1168,517327,442
1169,486553,416
1170,520726,445
1171,492583,420
1172,509903,435
1173,522519,445
1174,525662,447
1175,546639,465
1176,501313,426
1177,525587,446
1178,521681,442
1179,603389,511
1180,599412,507
1181,511813,433
1182,520184,440
1183,516563,436
1184,570805,482
1185,539121,454
1186,528046,445
1187,536878,452
1188,505868,425
1189,535298,450
1190,521092,437
1191,574944,482
1192,608964,510
1193,543373,455
1194,530113,443
1195,484223,405
1196,518844,433
1197,542222,452
1198,516353,431
1199,519945,433
1200,538699,448
1201,506863,422
1202,507960,422
1203,563016,468
1204,503873,418
1205,560946,465
1206,535430,443
1207,552929,458
1208,524680,434
1209,518608,428
1210,550608,455
1211,533885,440
1212,512939,423
1213,551509,454
1214,513664,423
1215,565100,465
1216,521569,428
1217,519708,427
1218,528228,433
1219,531149,435
1220,503969,413
1221,522884,428
1222,564709,462
1223,527435,431
1224,533588,435
1225,529564,432
1226,533985,435
1227,550730,448
1228,529426,431
1229,523660,426
1230,533548,433
1231,561734,456
1232,562968,456
1233,542957,440
1234,554102,449
1235,526510,426
1236,545475,441
1237,523453,423
1238,556278,449
1239,518258,418
1240,513917,414
1241,551723,444
1242,539840,434
1243,561884,452
1244,609718,490
1245,539123,433
1246,536826,430
1247,548639,439
1248,530715,425
1249,603400,483
1250,563672,450
1251,547072,437
1252,585678,467
1253,544404,434
1254,585334,466
1255,548341,436
1256,549948,437
1257,577583,459
1258,540028,429
1259,525661,417
1260,529396,420
1261,519131,411
1262,515692,408
1263,540910,428
1264,602827,476
1265,544766,430
1266,560232,442
1267,531174,419
1268,572598,451
1269,599651,472
1270,543092,427
1271,589365,463
1272,541204,425
1273,545454,428
1274,590163,463
1275,578652,453
1276,549890,430
1277,542595,424
1278,546892,427
1279,594399,464
1280,561827,438
1281,547529,427
1282,548672,427
1283,611395,476
1284,549481,427
1285,550539,428
1286,554690,431
1287,561200,436
1288,546089,423
1289,565322,438
1290,601341,466
1291,571265,442
1292,566740,438
1293,543820,420
1294,565884,437
1295,555147,428
1296,561281,433
1297,558042,430
1298,569659,438
1299,557675,429
1300,602100,463
1301,547350,420
1302,617721,474
1303,548601,421
1304,546158,418
1305,563485,431
1306,550867,421
1307,550708,421
1308,576036,440
1309,560556,428
1310,604014,461
1311,618098,471
1312,576916,439
1313,583704,444
1314,535582,407
1315,570229,433
1316,588415,447
1317,587096,445
1318,562536,426
1319,575530,436
1320,592177,448
1321,595937,451
1322,673854,509
1323,594790,449
1324,722073,545
1325,595026,449
1326,538292,405
1327,573186,431
1328,559056,420
1329,576076,433
1330,562980,423
1331,555413,417
1332,577056,433
1333,569809,427
1334,585141,438
1335,541983,405
1336,888796,665
1337,581389,434
1338,600227,448
1339,594651,444
1340,597453,445
1341,641507,478
1342,584131,435
1343,609941,454
1344,565331,420
1345,577558,429
1346,607355,451
1347,606482,450
1348,637021,472
1349,569825,422
1350,616870,456
1351,578616,428
1352,606786,448
1353,627761,463
1354,585005,432
1355,569717,420
1356,571418,421
1357,624180,459
1358,580097,427
1359,612234,450
1360,565997,416
1361,600237,441
1362,580569,426
1363,629205,461
1364,633046,464
1365,591918,433
1366,612392,448
1367,627680,459
1368,601191,439
1369,595039,434
1370,592943,432
1371,664495,484
1372,642473,468
1373,675435,491
1374,594711,432
1375,572339,416
1376,574591,417
1377,587196,426
1378,626876,454
1379,607035,440
1380,648454,469
1381,587191,425
1382,649154,469
1383,651772,471
1384,578425,417
1385,606384,437
1386,629187,453
1387,578309,416
1388,582418,419
1389,628500,452
1390,587970,423
1391,595399,428
1392,603661,433
1393,626879,450
1394,629557,451
1395,599071,429
1396,645260,462
1397,631896,452
1398,608332,435
1399,609796,435
1400,660134,471
1401,639735,456
1402,624575,445
1403,609128,434
1404,615106,438
1405,677535,482
1406,608137,432
1407,611888,434
1408,585511,415
1409,675953,479
1410,712387,505
1411,631967,447
1412,769554,545
1413,717218,507
1414,636967,450
1415,666357,470
1416,811598,573
1417,730126,515
1418,611795,431
1419,632070,445
1420,641381,451
1421,626506,440
1422,651367,458
1423,586941,412
1424,616974,433
1425,606945,425
