MB,Read Time (ns),Read Time / Number (ns)
811,1966123,2424
812,1939156,2388
813,1982763,2438
814,2033153,2497
815,2227174,2732
816,2056806,2520
817,1975479,2417
818,2012543,2460
819,1949763,2380
820,2087335,2545
821,2025330,2466
822,2049570,2493
823,1957069,2377
824,1972867,2394
825,2108174,2555
826,2127678,2575
827,1996837,2414
828,2033930,2456
829,1984090,2393
830,2083263,2509
831,2002596,2409
832,2006856,2412
833,2028262,2434
834,2071291,2483
835,2130318,2551
836,2163602,2588
837,2026867,2421
838,2089801,2493
839,2005405,2390
840,2313928,2754
841,2246615,2671
842,2145240,2547
843,2028898,2406
844,2100658,2488
845,2074669,2455
846,2108797,2492
847,2081022,2456
848,2150081,2535
849,2076944,2446
850,2128715,2504
851,2047183,2405
852,2143240,2515
853,2090508,2450
854,2115260,2476
855,2066620,2417
856,2123375,2480
857,2084645,2432
858,2136538,2490
859,2056930,2394
860,2138616,2486
861,2079968,2415
862,2320425,2691
863,2085579,2416
864,2136312,2472
865,2092875,2419
866,2141608,2472
867,2290226,2641
868,2150439,2477
869,2109843,2427
870,2165323,2488
871,2144329,2461
872,2293938,2630
873,2091891,2396
874,2191051,2506
875,2180561,2492
876,2199444,2510
877,2094567,2388
878,2120920,2415
879,2416389,2749
880,2201883,2502
881,2293034,2602
882,2261312,2563
883,2126419,2408
884,2233164,2526
885,2141794,2420
886,2257711,2548
887,2137492,2409
888,2273561,2560
889,2124824,2390
890,2221665,2496
891,2168456,2433
892,2242604,2514
893,2297281,2572
894,2174512,2432
895,2120354,2369
896,2276777,2541
897,2142171,2388
898,2426422,2702
899,2184873,2430
900,2353220,2614
901,2172735,2411
902,2230371,2472
903,2164072,2396
904,2199111,2432
905,2336466,2581
906,2221393,2451
907,2203493,2429
908,2212323,2436
909,2198859,2418
910,2311422,2540
911,2327510,2554
912,2331006,2555
913,2229897,2442
914,2287098,2502
915,2216014,2421
916,2230309,2434
917,2366261,2580
918,2268278,2470
919,2205587,2399
920,2263170,2459
921,2209785,2399
922,2285675,2479
923,2215223,2400
924,2351741,2545
925,2303062,2489
926,2444892,2640
927,2301653,2482
928,2294435,2472
929,2251177,2423
930,2285445,2457
931,2427854,2607
932,2363465,2535
933,2324134,2491
934,2315709,2479
935,2238082,2393
936,2320180,2478
937,2303968,2458
938,2429621,2590
939,2287522,2436
940,2321236,2469
941,2307225,2451
942,2331229,2474
943,2294158,2432
944,2296109,2432
945,2381007,2519
946,2327517,2460
947,2309901,2439
948,2294889,2420
949,3361516,3542
950,2295868,2416
951,2299774,2418
952,2554158,2682
953,2296298,2409
954,2407378,2523
955,2334755,2444
956,2398418,2508
957,2316142,2420
958,2394787,2499
959,2318281,2417
960,2402038,2502
961,2420856,2519
962,2379777,2473
963,2322312,2411
964,2433068,2523
965,2379498,2465
966,2360247,2443
967,2371751,2452
968,2376031,2454
969,2377514,2453
970,2538842,2617
971,2333299,2402
972,2461024,2531
973,2372673,2438
974,2395834,2459
975,2391451,2452
976,2391061,2449
977,2485850,2544
978,2456996,2512
979,2399731,2451
980,2514378,2565
981,2364362,2410
982,2441337,2486
983,2367626,2408
984,2611390,2653
985,2405403,2442
986,2540640,2576
987,2411770,2443
988,2400229,2429
989,2441256,2468
990,2430607,2455
991,2475281,2497
992,2448914,2468
993,2453809,2471
994,2449480,2464
995,2555461,2568
996,2425806,2435
997,2415080,2422
998,2454129,2459
999,2468382,2470
1000,2535329,2535
1001,2397303,2394
1002,2474171,2469
1003,2393693,2386
1004,2469525,2459
1005,2379795,2367
1006,2453753,2439
